predictions_file,average_scores_by_image,pearson_r_true_v_predicted,p_value
predictions/predictions_best_regression_model_tanh_norm_trained_on_kitchen_vehicle_val2017_regression.p,0,7.37E-02,3.62E-08
predictions/predictions_best_regression_model_tanh_norm_trained_on_outdoor_accessory_val2017_regression.p,0,4.47E-01,4.42E-182
predictions/predictions_best_regression_model_tanh_norm_trained_on_outdoor_animal_val2017_regression.p,0,3.81E-01,6.83E-178
predictions/predictions_best_regression_model_tanh_norm_trained_on_outdoor_appliance_val2017_regression.p,0,4.38E-01,8.14E-85
predictions/predictions_best_regression_model_tanh_norm_trained_on_outdoor_electronic_val2017_regression.p,0,2.62E-01,6.74E-42
predictions/predictions_best_regression_model_tanh_norm_trained_on_outdoor_food_val2017_regression.p,0,2.60E-01,2.64E-55
predictions/predictions_best_regression_model_tanh_norm_trained_on_outdoor_full_set_tanh_normed_val2017.p,0,4.43E-01,0.00E+00
predictions/predictions_best_regression_model_tanh_norm_trained_on_outdoor_furniture_val2017_regression.p,0,4.46E-01,1.14367380528613e-310
predictions/predictions_best_regression_model_tanh_norm_trained_on_outdoor_indoor_val2017_regression.p,0,3.37E-01,8.51E-90
predictions/predictions_best_regression_model_tanh_norm_trained_on_outdoor_kitchen_val2017_regression.p,0,3.73E-01,3.23E-151
predictions/predictions_best_regression_model_tanh_norm_trained_on_outdoor_outdoor_val2017_regression.p,0,4.70E-01,9.00E-142
predictions/predictions_best_regression_model_tanh_norm_trained_on_outdoor_person_val2017_regression.p,0,4.35E-01,0.00E+00
predictions/predictions_best_regression_model_tanh_norm_trained_on_outdoor_sports_val2017_regression.p,0,4.10E-01,1.60E-196
predictions/predictions_best_regression_model_tanh_norm_trained_on_outdoor_vehicle_val2017_regression.p,0,2.55E-02,5.74E-02
predictions/predictions_best_regression_model_tanh_norm_trained_on_sports_accessory_val2017_regression.p,0,4.27E-01,2.15E-164
predictions/predictions_best_regression_model_tanh_norm_trained_on_sports_animal_val2017_regression.p,0,3.73E-01,1.96E-170
predictions/predictions_best_regression_model_tanh_norm_trained_on_sports_appliance_val2017_regression.p,0,3.60E-01,5.31E-56
predictions/predictions_best_regression_model_tanh_norm_trained_on_sports_electronic_val2017_regression.p,0,3.08E-01,5.72E-58
predictions/predictions_best_regression_model_tanh_norm_trained_on_sports_food_val2017_regression.p,0,3.18E-01,5.93E-83
predictions/predictions_best_regression_model_tanh_norm_trained_on_sports_on_full_set.p,0,4.96E-01,0.00E+00
predictions/predictions_best_regression_model_tanh_norm_trained_on_sports_furniture_val2017_regression.p,0,3.88E-01,7.86E-229
predictions/predictions_best_regression_model_tanh_norm_trained_on_sports_indoor_val2017_regression.p,0,3.91E-01,6.27E-123
predictions/predictions_best_regression_model_tanh_norm_trained_on_sports_kitchen_val2017_regression.p,0,3.81E-01,6.84E-159
predictions/predictions_best_regression_model_tanh_norm_trained_on_sports_outdoor_val2017_regression.p,0,3.98E-01,2.96E-98
predictions/predictions_best_regression_model_tanh_norm_trained_on_sports_person_val2017_regression.p,0,5.37E-01,0.00E+00
predictions/predictions_best_regression_model_tanh_norm_trained_on_sports_sports_val2017_regression.p,0,6.02E-01,0.00E+00
predictions/predictions_best_regression_model_tanh_norm_trained_on_sports_vehicle_val2017_regression.p,0,5.82E-02,1.40E-05
predictions/predictions_best_regression_model_tanh_norm_trained_on_vehicle_accessory_val2017_regression.p,0,1.73E-01,2.96E-26
predictions/predictions_best_regression_model_tanh_norm_trained_on_vehicle_animal_val2017_regression.p,0,1.74E-01,1.31E-36
predictions/predictions_best_regression_model_tanh_norm_trained_on_vehicle_appliance_val2017_regression.p,0,3.03E-02,2.00E-01
predictions/predictions_best_regression_model_tanh_norm_trained_on_vehicle_electronic_val2017_regression.p,0,1.29E-01,4.38E-11
predictions/predictions_best_regression_model_tanh_norm_trained_on_vehicle_food_val2017_regression.p,0,1.75E-01,1.84E-25
predictions/predictions_best_regression_model_tanh_norm_trained_on_vehicle_on_full_set_tanh_normed_val2017.p,0,5.08E-01,0.00E+00
predictions/predictions_best_regression_model_tanh_norm_trained_on_vehicle_furniture_val2017_regression.p,0,1.69E-01,3.73E-42
predictions/predictions_best_regression_model_tanh_norm_trained_on_vehicle_indoor_val2017_regression.p,0,2.08E-01,3.37E-34
predictions/predictions_best_regression_model_tanh_norm_trained_on_vehicle_kitchen_val2017_regression.p,0,1.66E-01,8.20E-30
predictions/predictions_best_regression_model_tanh_norm_trained_on_vehicle_outdoor_val2017_regression.p,0,1.80E-01,3.26E-20
predictions/predictions_best_regression_model_tanh_norm_trained_on_vehicle_person_val2017_regression.p,0,2.12E-01,1.15E-135
predictions/predictions_best_regression_model_tanh_norm_trained_on_vehicle_sports_val2017_regression.p,0,1.78E-01,5.09E-36
predictions/predictions_best_regression_model_tanh_norm_trained_on_vehicle_vehicle_val2017_regression.p,0,3.55E-01,1.71E-165
predictions/predictions_best_regression_model_trained_on_tanh_normed_full_set_person_val2017_regression.p,0,5.94E-01,0.00E+00
predictions/predictions_best_regression_model_trained_on_tanh_normed_full_set_vehicle_val2017_regression.p,0,1.58E-02,2.38E-01
predictions/predictions_best_regression_model_trained_on_tanh_normed_full_set_outdoor_val2017_regression.p,0,4.83E-01,1.97E-150
predictions/predictions_best_regression_model_trained_on_tanh_normed_full_set_animal_val2017_regression.p,0,5.17E-01,0.00E+00
predictions/predictions_best_regression_model_trained_on_tanh_normed_full_set_accessory_val2017_regression.p,0,5.48E-01,6.44E-290
predictions/predictions_best_regression_model_trained_on_tanh_normed_full_set_sports_val2017_regression.p,0,6.03E-01,0.00E+00
predictions/predictions_best_regression_model_trained_on_tanh_normed_full_set_kitchen_val2017_regression.p,0,5.05E-01,6.91E-296
predictions/predictions_best_regression_model_trained_on_tanh_normed_full_set_food_val2017_regression.p,0,4.75E-01,6.23E-197
predictions/predictions_best_regression_model_trained_on_tanh_normed_full_set_furniture_val2017_regression.p,0,5.89E-01,0.00E+00
predictions/predictions_best_regression_model_trained_on_tanh_normed_full_set_electronic_val2017_regression.p,0,4.66E-01,2.55E-140
predictions/predictions_best_regression_model_trained_on_tanh_normed_full_set_appliance_val2017_regression.p,0,5.71E-01,2.45E-155
predictions/predictions_best_regression_model_trained_on_tanh_normed_full_set_indoor_val2017_regression.p,0,4.97E-01,3.67E-209
predictions/predictions_best_regression_model_tanh_norm_trained_on_person_maskn_maskv_maskadj_maskadv_person_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,3.51E-01,0.00E+00
predictions/predictions_best_regression_model_tanh_norm_trained_on_person_maskn_maskv_maskadj_maskadv_vehicle_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,2.47E-01,2.31E-78
predictions/predictions_best_regression_model_tanh_norm_trained_on_person_maskn_maskv_maskadj_maskadv_outdoor_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,1.77E-01,1.48E-19
predictions/predictions_best_regression_model_tanh_norm_trained_on_person_maskn_maskv_maskadj_maskadv_animal_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,1.77E-01,1.31E-37
predictions/predictions_best_regression_model_tanh_norm_trained_on_person_maskn_maskv_maskadj_maskadv_accessory_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,3.17E-01,2.45E-87
predictions/predictions_best_regression_model_tanh_norm_trained_on_person_maskn_maskv_maskadj_maskadv_sports_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,3.26E-01,2.77E-121
predictions/predictions_best_regression_model_tanh_norm_trained_on_person_maskn_maskv_maskadj_maskadv_kitchen_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,2.14E-01,8.46E-49
predictions/predictions_best_regression_model_tanh_norm_trained_on_person_maskn_maskv_maskadj_maskadv_food_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,1.85E-01,2.62E-28
predictions/predictions_best_regression_model_tanh_norm_trained_on_person_maskn_maskv_maskadj_maskadv_furniture_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,2.31E-01,4.35E-78
predictions/predictions_best_regression_model_tanh_norm_trained_on_person_maskn_maskv_maskadj_maskadv_electronic_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,1.59E-01,3.65E-16
predictions/predictions_best_regression_model_tanh_norm_trained_on_person_maskn_maskv_maskadj_maskadv_appliance_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,1.66E-01,1.60E-12
predictions/predictions_best_regression_model_tanh_norm_trained_on_person_maskn_maskv_maskadj_maskadv_indoor_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,2.54E-01,1.90E-50
predictions/predictions_best_regression_model_tanh_norm_trained_on_person_maskn_maskv_maskadj_maskadv_full_set_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,2.92E-01,0.00E+00
predictions/predictions_best_regression_model_tanh_norm_trained_on_vehicle_maskn_maskv_maskadj_maskadv_person_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,2.09E-01,3.49E-132
predictions/predictions_best_regression_model_tanh_norm_trained_on_vehicle_maskn_maskv_maskadj_maskadv_vehicle_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,3.49E-01,6.87E-159
predictions/predictions_best_regression_model_tanh_norm_trained_on_vehicle_maskn_maskv_maskadj_maskadv_outdoor_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,1.73E-01,8.78E-19
predictions/predictions_best_regression_model_tanh_norm_trained_on_vehicle_maskn_maskv_maskadj_maskadv_animal_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,1.63E-01,3.67E-32
predictions/predictions_best_regression_model_tanh_norm_trained_on_vehicle_maskn_maskv_maskadj_maskadv_accessory_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,1.70E-01,2.01E-25
predictions/predictions_best_regression_model_tanh_norm_trained_on_vehicle_maskn_maskv_maskadj_maskadv_sports_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,1.93E-01,7.05E-42
predictions/predictions_best_regression_model_tanh_norm_trained_on_vehicle_maskn_maskv_maskadj_maskadv_kitchen_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,1.36E-01,1.74E-20
predictions/predictions_best_regression_model_tanh_norm_trained_on_vehicle_maskn_maskv_maskadj_maskadv_food_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,1.72E-01,1.15E-24
predictions/predictions_best_regression_model_tanh_norm_trained_on_vehicle_maskn_maskv_maskadj_maskadv_furniture_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,1.37E-01,5.20E-28
predictions/predictions_best_regression_model_tanh_norm_trained_on_vehicle_maskn_maskv_maskadj_maskadv_electronic_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,1.21E-01,7.11E-10
predictions/predictions_best_regression_model_tanh_norm_trained_on_vehicle_maskn_maskv_maskadj_maskadv_appliance_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,1.91E-02,4.20E-01
predictions/predictions_best_regression_model_tanh_norm_trained_on_vehicle_maskn_maskv_maskadj_maskadv_indoor_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,1.81E-01,4.50E-26
predictions/predictions_best_regression_model_tanh_norm_trained_on_vehicle_maskn_maskv_maskadj_maskadv_full_set_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,2.29E-01,1.20E-295
predictions/predictions_best_regression_model_tanh_norm_trained_on_outdoor_maskn_maskv_maskadj_maskadv_person_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,1.80E-01,2.29E-98
predictions/predictions_best_regression_model_tanh_norm_trained_on_outdoor_maskn_maskv_maskadj_maskadv_vehicle_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,2.40E-01,1.78E-73
predictions/predictions_best_regression_model_tanh_norm_trained_on_outdoor_maskn_maskv_maskadj_maskadv_outdoor_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,2.39E-01,1.04E-34
predictions/predictions_best_regression_model_tanh_norm_trained_on_outdoor_maskn_maskv_maskadj_maskadv_animal_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,1.56E-01,1.17E-29
predictions/predictions_best_regression_model_tanh_norm_trained_on_outdoor_maskn_maskv_maskadj_maskadv_accessory_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,2.15E-01,2.84E-40
predictions/predictions_best_regression_model_tanh_norm_trained_on_outdoor_maskn_maskv_maskadj_maskadv_sports_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,1.77E-01,1.18E-35
predictions/predictions_best_regression_model_tanh_norm_trained_on_outdoor_maskn_maskv_maskadj_maskadv_kitchen_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,2.10E-01,9.09E-47
predictions/predictions_best_regression_model_tanh_norm_trained_on_outdoor_maskn_maskv_maskadj_maskadv_food_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,1.88E-01,2.18E-29
predictions/predictions_best_regression_model_tanh_norm_trained_on_outdoor_maskn_maskv_maskadj_maskadv_furniture_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,2.17E-01,4.36E-69
predictions/predictions_best_regression_model_tanh_norm_trained_on_outdoor_maskn_maskv_maskadj_maskadv_electronic_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,1.56E-01,1.23E-15
predictions/predictions_best_regression_model_tanh_norm_trained_on_outdoor_maskn_maskv_maskadj_maskadv_appliance_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,1.50E-01,1.86E-10
predictions/predictions_best_regression_model_tanh_norm_trained_on_outdoor_maskn_maskv_maskadj_maskadv_indoor_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,1.78E-01,2.20E-25
predictions/predictions_best_regression_model_tanh_norm_trained_on_outdoor_maskn_maskv_maskadj_maskadv_full_set_maskn_maskv_maskadj_maskadv_val2017_regression.p,0,1.90E-01,1.46E-202
